	name	sample
1	CH101	CH101.bam
2	CH102	CH102.bam
3	CH103	CH103.bam
4	CH104	CH104.bam
5	CH105	CH105.bam
6	CH106	CH106.bam
7	CH107	CH107.bam
8	CH108	CH108.bam
9	CH109	CH109.bam
10	CH10	CH10.bam
11	CH110	CH110.bam
12	CH111	CH111.bam
13	CH112	CH112.bam
14	CH113	CH113.bam
15	CH114	CH114.bam
16	CH115	CH115.bam
17	CH116	CH116.bam
18	CH117	CH117.bam
19	CH118	CH118.bam
20	CH119	CH119.bam
21	CH11	CH11.bam
22	CH120	CH120.bam
23	CH12_1	CH12_1.bam
24	CH121	CH121.bam
25	CH12-2	CH12-2.bam
26	CH122	CH122.bam
27	CH12#2	CH12#2.bam
28	CH123	CH123.bam
29	CH124	CH124.bam
30	CH125	CH125.bam
31	CH126	CH126.bam
32	CH127	CH127.bam
33	CH128	CH128.bam
34	CH129	CH129.bam
35	CH130	CH130.bam
36	CH131	CH131.bam
37	CH132	CH132.bam
38	CH13	CH13.bam
39	CH14	CH14.bam
40	CH15-1	CH15-1.bam
41	CH15-2	CH15-2.bam
42	CH17	CH17.bam
43	CH1	CH1.bam
45	CH2	CH2.bam
46	CH3	CH3.bam
47	CH4	CH4.bam
48	CH5	CH5.bam
49	CH6	CH6.bam
50	CH7	CH7.bam
51	CH8	CH8.bam
52	CH9	CH9.bam
